🎯 Todas las soluciones factibles para m_7
Total ejecuciones: 81, Factibles: 46, Ratio: 0.57

min_bins = 4
    alpha=3.0, A=1.0, B=1000.0, D=500.0
    alpha=3.0, A=10.0, B=1000.0, D=1000.0
    alpha=3.0, A=100.0, B=1000.0, D=500.0
    alpha=3.0, A=100.0, B=2500.0, D=500.0
    alpha=6.0, A=1.0, B=500.0, D=10.0
    alpha=6.0, A=10.0, B=1000.0, D=1000.0
    alpha=6.0, A=10.0, B=2500.0, D=10.0
    alpha=6.0, A=100.0, B=500.0, D=1000.0
    alpha=6.0, A=100.0, B=1000.0, D=500.0
    alpha=6.0, A=100.0, B=1000.0, D=1000.0
    alpha=6.0, A=100.0, B=2500.0, D=500.0

min_bins = 5
    alpha=3.0, A=1.0, B=500.0, D=500.0
    alpha=3.0, A=1.0, B=500.0, D=1000.0
    alpha=3.0, A=1.0, B=1000.0, D=1000.0
    alpha=3.0, A=1.0, B=2500.0, D=500.0
    alpha=3.0, A=1.0, B=2500.0, D=1000.0
    alpha=3.0, A=10.0, B=500.0, D=500.0
    alpha=3.0, A=10.0, B=500.0, D=1000.0
    alpha=3.0, A=10.0, B=2500.0, D=10.0
    alpha=3.0, A=10.0, B=2500.0, D=500.0
    alpha=3.0, A=10.0, B=2500.0, D=1000.0
    alpha=3.0, A=100.0, B=500.0, D=10.0
    alpha=3.0, A=100.0, B=500.0, D=500.0
    alpha=3.0, A=100.0, B=1000.0, D=10.0
    alpha=3.0, A=100.0, B=1000.0, D=1000.0
    alpha=3.0, A=100.0, B=2500.0, D=10.0
    alpha=6.0, A=1.0, B=500.0, D=500.0
    alpha=6.0, A=1.0, B=500.0, D=1000.0
    alpha=6.0, A=1.0, B=1000.0, D=10.0
    alpha=6.0, A=1.0, B=1000.0, D=500.0
    alpha=6.0, A=1.0, B=1000.0, D=1000.0
    alpha=6.0, A=1.0, B=2500.0, D=10.0
    alpha=6.0, A=1.0, B=2500.0, D=500.0
    alpha=6.0, A=1.0, B=2500.0, D=1000.0
    alpha=6.0, A=10.0, B=500.0, D=10.0
    alpha=6.0, A=10.0, B=500.0, D=500.0
    alpha=6.0, A=10.0, B=500.0, D=1000.0
    alpha=6.0, A=10.0, B=1000.0, D=10.0
    alpha=6.0, A=10.0, B=1000.0, D=500.0
    alpha=6.0, A=10.0, B=2500.0, D=500.0
    alpha=6.0, A=10.0, B=2500.0, D=1000.0
    alpha=6.0, A=100.0, B=500.0, D=10.0
    alpha=6.0, A=100.0, B=500.0, D=500.0
    alpha=6.0, A=100.0, B=1000.0, D=10.0
    alpha=6.0, A=100.0, B=2500.0, D=10.0
    alpha=6.0, A=100.0, B=2500.0, D=1000.0

